id,pert,gene,label
Psmd4_Anxa2,Psmd4,Anxa2,down
Cul2_Upp1,Cul2,Upp1,none
Rngtt_Saa3,Rngtt,Saa3,down
Dusp1_Chst11,Dusp1,Chst11,up
Sbno2_Gsr,Sbno2,Gsr,none
Chmp6_Trmt10c,Chmp6,Trmt10c,none
Exoc5_Syngr1,Exoc5,Syngr1,none
Junb_Carhsp1,Junb,Carhsp1,down
Slc7a6os_Plaur,Slc7a6os,Plaur,up
Rps5_Cks1b,Rps5,Cks1b,none
Med29_Cd9,Med29,Cd9,none
Gspt1_Atf6,Gspt1,Atf6,up
Chmp3_Cmpk2,Chmp3,Cmpk2,up
Ap3b1_Med29,Ap3b1,Med29,none
Ash2l_Hesx1,Ash2l,Hesx1,none
Rack1_Zfp101,Rack1,Zfp101,none
Wdr1_Vcl,Wdr1,Vcl,up
Nfyc_Ifi47,Nfyc,Ifi47,none
Traf6_St3gal5,Traf6,St3gal5,none
Pik3c3_Gpnmb,Pik3c3,Gpnmb,up